City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Tucumcari,US,2022-07-28 03:46:16,35.1717,-103.725,73.24,78,100,12.66
144,Saskylakh,RU,2022-07-28 03:46:16,71.9167,114.0833,74.19,51,84,8.21
145,Vestmannaeyjar,IS,2022-07-28 03:46:17,63.4427,-20.2734,51.58,74,97,16.98
146,Neuquen,AR,2022-07-28 03:45:01,-38.9516,-68.0591,44.49,76,0,2.3
147,Butaritari,KI,2022-07-28 03:43:03,3.0707,172.7902,81.84,78,11,12.53
148,Inhambane,MZ,2022-07-28 03:46:17,-23.865,35.3833,57.18,94,40,0.0
149,Vardo,NO,2022-07-28 03:46:18,70.3705,31.1107,51.78,87,100,26.46
150,Gannan,CN,2022-07-28 03:46:18,47.9147,123.5031,72.7,82,100,1.88
151,Severo-Kurilsk,RU,2022-07-28 03:46:18,50.6789,156.125,54.93,88,96,5.91
152,Murdochville,CA,2022-07-28 03:46:19,48.9583,-65.5006,56.28,95,58,3.27
153,Atikokan,CA,2022-07-28 03:46:19,48.7555,-91.6216,55.74,97,100,9.26
154,Port Macquarie,AU,2022-07-28 03:46:20,-31.4333,152.9167,66.88,48,0,6.53
155,Guarapari,BR,2022-07-28 03:46:20,-20.6667,-40.4975,65.89,83,2,5.03
156,Tuatapere,NZ,2022-07-28 03:46:20,-46.1333,167.6833,44.69,93,100,3.65
157,Andros Town,BS,2022-07-28 03:46:21,24.7,-77.7667,82.0,78,1,15.93
158,Upernavik,GL,2022-07-28 03:46:21,72.7868,-56.1549,40.32,85,100,1.72
159,Calvinia,ZA,2022-07-28 03:46:21,-31.4707,19.776,46.87,63,0,7.78
160,Bauchi,NG,2022-07-28 03:46:22,10.5,10.0,71.17,90,100,3.74
161,Bonfim,BR,2022-07-28 03:46:22,3.0833,-59.95,74.07,94,100,3.15
162,Atuona,PF,2022-07-28 03:46:23,-9.8,-139.0333,77.63,73,21,24.16
163,Pershotravneve,UA,2022-07-28 03:46:23,51.3929,28.8684,57.18,90,53,3.33
164,Meadow Lake,US,2022-07-28 03:46:23,34.8014,-106.5436,74.68,68,61,3.96
165,Birao,CF,2022-07-28 03:46:24,10.2849,22.7882,70.56,97,100,2.42
166,Petropavlovsk-Kamchatskiy,RU,2022-07-28 03:46:24,53.0452,158.6483,72.19,60,75,8.95
167,Manicore,BR,2022-07-28 03:46:24,-5.8092,-61.3003,71.55,88,0,0.0
168,Tambo,PE,2022-07-28 03:46:25,-14.8,-73.9167,37.99,43,8,4.41
169,Grindavik,IS,2022-07-28 03:46:25,63.8424,-22.4338,49.95,93,75,23.02
170,Shizuishan,CN,2022-07-28 03:46:25,39.2333,106.7694,90.75,16,31,14.92
171,Bathsheba,BB,2022-07-28 03:46:26,13.2167,-59.5167,81.21,86,40,19.57
172,Tomatlan,MX,2022-07-28 03:46:26,19.9333,-105.25,76.08,90,100,2.17
173,Bosaso,SO,2022-07-28 03:46:26,11.2842,49.1816,87.96,40,76,28.34
174,Vallenar,CL,2022-07-28 03:46:27,-28.5708,-70.7581,59.77,60,92,0.92
175,Xiamen,CN,2022-07-28 03:46:27,24.4798,118.0819,91.45,66,20,6.71
176,Vila Franca Do Campo,PT,2022-07-28 03:46:28,37.7167,-25.4333,72.01,93,83,3.65
177,Saint Anthony,US,2022-07-28 03:46:28,45.0205,-93.218,71.89,54,0,6.91
178,Cabras,IT,2022-07-28 03:46:28,39.93,8.5314,71.04,63,0,5.44
179,Jalu,LY,2022-07-28 03:44:06,29.0331,21.5482,79.39,48,0,6.2
180,Narsaq,GL,2022-07-28 03:46:29,60.9167,-46.05,46.62,85,15,1.72
181,Dordrecht,NL,2022-07-28 03:46:29,51.81,4.6736,56.98,75,57,7.43
182,Mount Gambier,AU,2022-07-28 03:47:30,-37.8333,140.7667,51.62,74,97,7.94
183,Saint George,US,2022-07-28 03:47:30,37.1041,-113.5841,74.62,75,40,8.05
184,Saint-Pierre,RE,2022-07-28 03:47:30,-21.3393,55.4781,69.91,69,20,5.75
185,Pingliang,CN,2022-07-28 03:47:31,35.5392,106.6861,84.65,26,0,9.86
186,Perugia,IT,2022-07-28 03:44:03,43.05,12.55,68.5,85,0,3.44
187,Lata,PT,2022-07-28 03:47:31,40.1629,-8.3327,54.95,92,0,1.48
188,Riyadh,SA,2022-07-28 03:43:36,24.6877,46.7219,93.34,27,100,14.9
189,Baykit,RU,2022-07-28 03:45:33,61.67,96.37,68.68,79,100,3.47
190,Pochutla,MX,2022-07-28 03:47:32,15.7432,-96.4661,77.83,93,54,2.19
191,Luderitz,NA,2022-07-28 03:47:26,-26.6481,15.1594,53.87,75,0,2.33
192,Berlevag,NO,2022-07-28 03:47:32,70.8578,29.0864,50.0,93,100,26.46
193,Bambous Virieux,MU,2022-07-28 03:45:07,-20.3428,57.7575,69.22,88,40,6.91
194,College,US,2022-07-28 03:46:25,64.8569,-147.8028,61.59,59,75,13.8
195,Codrington,AU,2022-07-28 03:47:33,-38.2667,141.9667,48.88,89,100,7.02
196,Biltine,TD,2022-07-28 03:47:06,14.5333,20.9167,73.76,77,100,6.6
197,Barrow,US,2022-07-28 03:47:33,71.2906,-156.7887,33.82,100,100,13.8
198,Charlestown,AU,2022-07-28 03:43:25,-32.95,151.6667,68.11,52,6,5.01
199,Magadan,RU,2022-07-28 03:47:34,59.5667,150.8,74.53,75,29,11.77
200,Chuy,UY,2022-07-28 03:47:34,-33.6971,-53.4616,60.3,97,100,6.91
201,Kinablangan,PH,2022-07-28 03:47:34,7.6947,126.5503,85.93,72,100,8.01
202,Novikovo,RU,2022-07-28 03:47:35,51.1537,37.8879,70.56,70,7,2.33
203,Marawi,PH,2022-07-28 03:47:35,7.9986,124.2928,79.03,79,80,2.82
204,Vila,PT,2022-07-28 03:47:35,42.0304,-8.1588,52.68,85,4,1.01
205,Athabasca,CA,2022-07-28 03:46:06,54.7169,-113.2854,75.61,72,15,7.02
206,Vinderup,DK,2022-07-28 03:47:36,56.4752,8.7908,55.08,84,25,9.35
207,Rodrigues Alves,BR,2022-07-28 03:47:36,-7.738,-72.6509,75.4,70,90,1.41
208,Salinas,US,2022-07-28 03:43:56,36.6777,-121.6555,64.49,79,75,11.5
209,Dalbandin,PK,2022-07-28 03:47:37,28.8947,64.4101,85.05,59,97,6.69
210,Tarata,BO,2022-07-28 03:47:37,-17.6167,-66.0167,53.08,60,23,4.05
211,Broome,US,2022-07-28 03:47:37,42.2506,-75.833,72.64,86,87,1.99
212,Mozarlandia,BR,2022-07-28 03:47:38,-14.7447,-50.5706,69.84,33,0,4.18
213,Mahibadhoo,MV,2022-07-28 03:47:38,3.7833,72.9667,82.31,74,89,14.92
214,Geraldton,AU,2022-07-28 03:47:38,-28.7667,114.6,70.21,68,40,8.05
215,Pascagoula,US,2022-07-28 03:47:39,30.3658,-88.5561,84.25,90,0,0.0
216,Dikson,RU,2022-07-28 03:44:02,73.5069,80.5464,40.55,94,61,13.49
217,Madang,PG,2022-07-28 03:47:39,-5.2246,145.7966,82.76,81,42,6.17
218,Ust-Maya,RU,2022-07-28 03:47:40,60.4167,134.5333,87.31,35,71,2.66
219,Tabuk,PH,2022-07-28 03:47:40,17.4189,121.4443,87.12,69,100,4.45
220,Dentsville,US,2022-07-28 03:47:40,34.064,-80.9582,84.22,79,75,4.61
221,Namibe,AO,2022-07-28 03:46:50,-15.1961,12.1522,61.2,79,75,7.11
222,Lorengau,PG,2022-07-28 03:47:41,-2.0226,147.2712,83.91,75,45,12.8
223,Labuhan,ID,2022-07-28 03:47:41,-6.8844,112.2051,86.47,60,99,7.49
224,Tual,ID,2022-07-28 03:47:41,-5.6667,132.75,79.0,84,39,21.7
225,Catarman,PH,2022-07-28 03:47:42,12.4989,124.6377,89.87,60,95,11.05
226,Bhatkal,IN,2022-07-28 03:47:42,13.9667,74.5667,82.58,77,58,1.41
227,Okha,RU,2022-07-28 03:47:43,53.5739,142.9478,63.72,70,28,13.69
228,Ancud,CL,2022-07-28 03:47:43,-41.8697,-73.8203,42.85,92,24,2.62
229,Zhigansk,RU,2022-07-28 03:47:43,66.7697,123.3711,79.02,47,27,4.5
230,Rio Grande,BR,2022-07-28 03:47:44,-32.035,-52.0986,58.95,96,98,7.38
231,Touros,BR,2022-07-28 03:48:44,-5.1989,-35.4608,72.72,86,36,12.12
232,Omsukchan,RU,2022-07-28 03:48:44,62.5333,155.8,61.23,34,69,7.78
233,Kerema,PG,2022-07-28 03:48:45,-7.9631,145.7785,80.64,86,89,9.98
234,Los Llanos De Aridane,ES,2022-07-28 03:48:45,28.6585,-17.9182,69.12,93,40,19.57
235,Meulaboh,ID,2022-07-28 03:48:46,4.1363,96.1285,83.95,66,92,2.37
236,Kot Samaba,PK,2022-07-28 03:48:46,28.5522,70.4684,89.74,66,98,11.99
237,Tabas,IR,2022-07-28 03:48:46,33.5959,56.9244,97.16,26,94,2.59
238,Ponta Delgada,PT,2022-07-28 03:48:47,37.7333,-25.6667,72.32,94,75,3.44
239,Pundaguitan,PH,2022-07-28 03:48:47,6.3711,126.1689,84.06,71,87,9.15
240,Bac Lieu,VN,2022-07-28 03:48:47,9.285,105.7244,86.77,65,69,4.63
241,Portland,US,2022-07-28 03:45:04,45.5234,-122.6762,91.38,51,20,6.91
242,Port Blair,IN,2022-07-28 03:48:03,11.6667,92.75,84.24,79,75,8.05
243,Jatai,BR,2022-07-28 03:48:48,-17.8814,-51.7144,64.62,37,0,4.09
244,Hilton Head Island,US,2022-07-28 03:45:02,32.2163,-80.7526,84.97,83,20,9.22
245,Quatre Cocos,MU,2022-07-28 03:48:48,-20.2078,57.7625,69.1,77,24,11.07
246,Balkanabat,TM,2022-07-28 03:48:49,39.5108,54.3671,92.43,26,0,13.76
247,Pevek,RU,2022-07-28 03:48:49,69.7008,170.3133,36.34,86,96,5.99
248,Amapa,BR,2022-07-28 03:48:49,1.0,-52.0,70.14,97,15,0.89
249,Longyearbyen,SJ,2022-07-28 03:48:50,78.2186,15.6401,42.64,81,75,18.41
250,Kruisfontein,ZA,2022-07-28 03:47:49,-34.0033,24.7314,51.73,91,2,5.12
251,Hennebont,FR,2022-07-28 03:48:50,47.8051,-3.2734,64.9,76,0,3.44
252,Pirai Do Sul,BR,2022-07-28 03:48:51,-24.5261,-49.9486,56.84,83,73,1.43
253,Boa Vista,BR,2022-07-28 03:48:51,2.8197,-60.6733,76.98,88,75,4.61
254,Deputatskiy,RU,2022-07-28 03:48:51,69.3,139.9,63.59,40,88,6.6
255,Hamilton,US,2022-07-28 03:44:59,39.1834,-84.5333,76.57,91,0,3.44
256,Quzhou,CN,2022-07-28 03:48:52,28.9594,118.8686,95.2,48,13,2.3
257,Okoneshnikovo,RU,2022-07-28 03:48:52,54.8377,75.0834,74.34,60,100,7.92
258,Ampanihy,MG,2022-07-28 03:48:53,-24.7,44.75,56.32,87,0,5.68
259,Marinette,US,2022-07-28 03:48:53,45.1,-87.6307,72.05,72,20,6.91
260,Aswan,EG,2022-07-28 03:48:53,24.0934,32.907,85.3,16,0,5.75
261,Dunedin,NZ,2022-07-28 03:46:39,-45.8742,170.5036,45.81,91,100,13.0
262,Victoria,HK,2022-07-28 03:47:01,22.2855,114.1577,94.96,72,0,5.01
263,Anchorage,US,2022-07-28 03:48:54,61.2181,-149.9003,70.68,51,0,15.01
264,Haines Junction,CA,2022-07-28 03:48:54,60.7522,-137.5108,53.55,87,100,1.14
265,Moron,AR,2022-07-28 03:48:55,-34.6534,-58.6198,62.29,99,100,6.91
266,Kaeo,NZ,2022-07-28 03:47:00,-35.1,173.7833,61.32,81,48,12.86
267,Brae,GB,2022-07-28 03:45:07,60.3964,-1.353,51.24,80,61,6.64
268,Vao,NC,2022-07-28 03:48:56,-22.6667,167.4833,69.57,67,100,7.9
269,Beyneu,KZ,2022-07-28 03:48:56,45.3167,55.2,86.05,31,98,5.59
270,Cabo San Lucas,MX,2022-07-28 03:48:39,22.8909,-109.9124,86.5,71,44,10.29
271,Iqaluit,CA,2022-07-28 03:48:56,63.7506,-68.5145,47.93,81,75,0.0
272,Bani Walid,LY,2022-07-28 03:48:57,31.7566,13.9942,76.39,43,0,5.39
273,Balakhninskiy,RU,2022-07-28 03:48:57,58.0106,114.2769,76.19,68,100,4.88
274,Borba,BR,2022-07-28 03:48:58,-4.3878,-59.5939,75.94,62,29,2.01
