City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
178,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,91,18,4.27,few clouds
179,Hofn,IS,64.2539,-15.2082,51.73,85,100,5.41,overcast clouds
180,Butaritari,KI,3.0707,172.7902,81.99,74,54,12.59,broken clouds
181,Bon Accord,CA,53.8335,-113.4187,78.35,84,40,2.3,scattered clouds
182,Grindavik,IS,63.8424,-22.4338,48.15,81,75,3.44,broken clouds
183,Egvekinot,RU,66.3167,-179.1667,46.76,74,96,4.56,overcast clouds
184,Bonthe,SL,7.5264,-12.505,74.98,74,20,8.52,few clouds
185,Qandala,SO,11.472,49.8728,90.48,46,1,3.29,clear sky
186,Lagoa,PT,39.05,-27.9833,70.97,80,0,1.1,clear sky
187,Martapura,ID,-3.4167,114.85,89.69,62,40,3.44,scattered clouds
188,Nichinan,JP,31.6,131.3667,85.68,88,77,16.69,broken clouds
189,Mehamn,NO,71.0357,27.8492,51.75,71,75,4.61,broken clouds
190,Narsaq,GL,60.9167,-46.05,46.62,62,81,2.64,broken clouds
191,Nizhniy Kuranakh,RU,58.8353,125.4869,67.42,92,100,2.15,light rain
192,Amapa,BR,1.0,-52.0,69.91,99,76,1.54,broken clouds
193,Mareeba,AU,-17.0,145.4333,75.43,55,3,7.16,clear sky
194,Ust-Ilimsk,RU,58.0006,102.6619,59.7,95,100,9.73,overcast clouds
195,Sao Pedro Do Sul,BR,-29.6206,-54.1789,47.32,94,35,6.64,scattered clouds
196,Nguruka,TZ,-5.1092,31.0419,69.64,49,69,5.44,broken clouds
197,Khromtau,KZ,50.2503,58.4347,65.88,56,74,9.01,broken clouds
198,Shancheng,CN,34.7953,116.0817,86.72,64,23,3.47,few clouds
199,Tura,IN,25.5198,90.2201,82.15,84,70,3.67,broken clouds
200,Aykhal,RU,66.0,111.5,83.43,37,9,10.71,clear sky
201,Bacolod,PH,10.6667,122.95,84.81,77,99,15.17,light rain
202,Slave Lake,CA,55.2834,-114.769,69.78,88,0,2.3,clear sky
203,Huron,US,41.1501,-82.5499,74.68,83,98,6.55,overcast clouds
204,Nanortalik,GL,60.1432,-45.2371,44.17,86,92,4.54,overcast clouds
205,Bondo,CD,3.8146,23.6866,67.5,100,100,2.59,light rain
206,Dingle,PH,10.9995,122.6711,83.55,80,100,12.44,light rain
207,Tiksi,RU,71.6872,128.8694,49.77,82,100,9.26,overcast clouds
208,Gravelbourg,CA,49.8834,-106.5512,59.27,40,0,8.25,clear sky
209,Nikolskoye,RU,59.7035,30.7861,64.87,74,20,4.9,few clouds
210,Svetlaya,RU,46.5389,138.3297,72.68,82,100,8.84,overcast clouds
211,Evensk,RU,61.95,159.2333,56.39,58,96,3.36,overcast clouds
212,Baculin,PH,7.4525,126.5842,86.59,73,100,10.42,overcast clouds
213,Jaciara,BR,-15.9653,-54.9683,67.78,36,76,2.17,broken clouds
214,Wanaka,NZ,-44.7,169.15,41.2,92,88,3.71,overcast clouds
215,Puerto El Triunfo,SV,13.2833,-88.55,77.04,87,75,1.5,broken clouds
216,Harstad,NO,68.799,16.5293,53.29,93,99,14.0,overcast clouds
217,Bontang,ID,0.1333,117.5,83.68,74,56,3.33,light rain
218,Kaitangata,NZ,-46.2817,169.8464,44.28,87,94,9.57,overcast clouds
219,Pangnirtung,CA,66.1451,-65.7125,50.77,74,91,3.4,overcast clouds
220,Agadir,MA,30.4202,-9.5982,66.65,82,0,2.86,clear sky
221,Teluk Nibung,ID,3.001,99.8164,82.44,76,100,5.03,overcast clouds
222,Kalaleh,IR,37.3807,55.4916,75.56,88,100,6.91,overcast clouds
223,Cuencame,MX,24.8711,-103.6964,72.99,52,93,5.95,overcast clouds
224,Sillamae,EE,59.3997,27.7547,60.76,73,100,10.89,overcast clouds
225,Sterling,US,39.0062,-77.4286,74.89,96,75,0.0,broken clouds
226,Bandarbeyla,SO,9.4942,50.8122,81.45,60,44,26.08,scattered clouds
227,Srednekolymsk,RU,67.45,153.6833,69.31,26,6,10.96,clear sky
228,Lorengau,PG,-2.0226,147.2712,83.52,76,27,13.8,scattered clouds
229,Camacha,PT,33.0833,-16.3333,67.42,78,40,11.5,scattered clouds
230,Hamilton,US,39.1834,-84.5333,77.0,79,0,5.75,clear sky
231,Monrovia,LR,6.3005,-10.7969,74.14,74,36,7.99,scattered clouds
232,Tomatlan,MX,19.9333,-105.25,74.71,91,93,2.57,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,75.2,94,100,4.27,light rain
234,Kalmunai,LK,7.4167,81.8167,78.22,85,100,6.17,overcast clouds
235,Zverinogolovskoye,RU,54.4586,64.8542,63.95,78,100,16.8,overcast clouds
236,Majene,ID,-3.5403,118.9707,86.43,65,49,13.6,scattered clouds
237,Caravelas,BR,-17.7125,-39.2481,67.59,84,20,6.6,few clouds
238,Aksarka,RU,66.5606,67.7975,76.19,40,54,10.85,broken clouds
239,Salinopolis,BR,-0.6136,-47.3561,78.08,85,12,10.18,few clouds
240,Mombaca,BR,-5.7431,-39.6275,71.47,73,57,2.21,broken clouds
241,Lasa,IT,46.6166,10.7002,58.08,86,84,1.19,broken clouds
242,Gambela,ET,8.25,34.5833,73.02,78,100,1.39,overcast clouds
243,Kahului,US,20.8947,-156.47,80.62,71,20,11.5,few clouds
244,Yellowknife,CA,62.456,-114.3525,59.56,58,20,6.91,few clouds
245,Viedma,AR,-40.8135,-62.9967,47.3,60,1,8.81,clear sky
246,Umm Kaddadah,SD,13.6017,26.6876,78.51,67,99,11.72,overcast clouds
247,Harwich,GB,51.9419,1.2844,58.35,86,60,1.99,broken clouds
248,Bastrop,US,32.7562,-91.8724,80.71,81,55,1.01,broken clouds
249,Kautokeino,NO,69.0125,23.0412,49.8,72,67,2.86,broken clouds
250,Saint-Denis,FR,48.9167,2.3333,65.14,65,0,3.44,clear sky
251,Umri,IN,26.5106,78.9367,91.36,55,90,7.2,overcast clouds
252,Benguela,AO,-12.5763,13.4055,65.89,90,100,2.04,overcast clouds
253,Payo,ID,-3.7508,103.6372,80.74,78,100,2.13,overcast clouds
254,Eyl,SO,7.9803,49.8164,81.0,59,33,24.96,scattered clouds
255,Bonavista,CA,48.6499,-53.1147,54.07,88,99,11.5,overcast clouds
256,Gore,NZ,-46.1028,168.9436,41.79,94,85,6.93,light rain
257,Joshimath,IN,30.5667,79.5667,78.82,73,92,7.11,overcast clouds
258,Ayagoz,KZ,47.9714,80.4392,88.83,22,98,19.26,overcast clouds
259,Tighina,MD,46.8306,29.4711,74.17,76,100,10.8,overcast clouds
260,Acapulco,MX,16.8634,-99.8901,80.42,78,0,3.44,clear sky
261,Pevek,RU,69.7008,170.3133,42.1,71,77,8.7,broken clouds
262,Santiago,CL,-33.4569,-70.6483,61.0,49,0,0.0,clear sky
263,Hervey Bay,AU,-25.2986,152.8535,66.09,57,62,5.61,broken clouds
264,San Carlos De Bariloche,AR,-41.1456,-71.3082,32.25,80,0,3.44,clear sky
265,Sztum,PL,53.9208,19.0307,59.34,81,23,4.72,few clouds
266,Sisimiut,GL,66.9395,-53.6735,42.03,93,100,4.27,light rain
267,Hondo,JP,32.45,130.2,86.79,68,32,12.71,scattered clouds
268,Moose Factory,CA,51.2585,-80.6094,57.2,94,0,4.61,clear sky
269,Altay,CN,47.8667,88.1167,84.79,25,42,10.89,scattered clouds
270,Ntcheu,MW,-14.8203,34.6359,52.29,74,3,2.62,clear sky
271,Ribeira Grande,PT,38.5167,-28.7,72.61,79,13,3.36,few clouds
